customerid,recency,frequency,monetary_value,R_Score,F_Score,M_Score,RFM_Segment,RFM_Score,Persona
13801,67.0,1,324.8,2,1,2,212,5,Typical Customers
13802,139.0,3,4599.42,2,3,4,234,9,At Risk
13803,255.0,1,277.07,1,1,1,111,3,Lost Customers
13804,31.0,7,2635.79,3,4,4,344,11,Champions
13805,52.0,2,924.6,2,2,3,223,7,Big Spenders
13806,64.0,1,256.38,2,1,1,211,4,Typical Customers
13807,367.0,1,112.6,1,1,1,111,3,Lost Customers
13808,6.0,5,1747.66,4,4,4,444,12,Champions
13809,305.0,1,155.05,1,1,1,111,3,Lost Customers
13810,29.0,3,1499.01,3,3,3,333,9,Champions
13811,184.0,3,814.5,1,3,3,133,7,At Risk
13812,42.0,3,539.0,3,3,2,332,8,Champions
13813,40.0,4,1366.86,3,3,3,333,9,Champions
13814,92.0,2,1579.12,2,2,3,223,7,Big Spenders
13815,22.0,4,4027.36,3,3,4,334,10,Champions
13816,24.0,2,571.67,3,2,2,322,7,New Customers
13817,29.0,2,382.98,3,2,2,322,7,New Customers
13819,302.0,3,1140.35,1,3,3,133,7,At Risk
13821,145.0,2,385.64,1,2,2,122,5,Typical Customers
13822,6.0,2,632.0,4,2,2,422,8,New Customers
13823,19.0,2,957.66,3,2,3,323,8,Big Spenders
13824,33.0,5,1698.94,3,4,4,344,11,Champions
13826,176.0,1,189.5,1,1,1,111,3,Lost Customers
13827,58.0,3,412.05,2,3,2,232,7,At Risk
13828,22.0,1,209.49,3,1,1,311,5,New Customers
13831,16.0,6,2202.99,4,4,4,444,12,Champions
13832,19.0,1,52.2,3,1,1,311,5,New Customers
13833,159.0,1,384.8,1,1,2,112,4,Lost Customers
13835,25.0,4,834.57,3,3,3,333,9,Champions
13837,212.0,2,271.24,1,2,1,121,4,Typical Customers
13838,6.0,4,691.73,4,3,3,433,10,Champions
13841,253.0,1,85.0,1,1,1,111,3,Lost Customers
13842,59.0,9,3385.62,2,4,4,244,10,At Risk
13844,11.0,1,361.62,4,1,2,412,7,New Customers
13845,65.0,1,312.98,2,1,2,212,5,Typical Customers
13846,25.0,3,865.06,3,3,3,333,9,Champions
13848,92.0,3,1255.0,2,3,3,233,8,At Risk
13849,52.0,2,1537.95,2,2,3,223,7,Big Spenders
13850,129.0,1,1595.48,2,1,3,213,6,Big Spenders
13851,96.0,3,2651.46,2,3,4,234,9,At Risk
13853,57.0,1,1090.14,2,1,3,213,6,Big Spenders
13854,9.0,25,8109.52,4,4,4,444,12,Champions
13856,169.0,3,388.5,1,3,2,132,6,At Risk
13858,57.0,1,216.17,2,1,1,211,4,Typical Customers
13859,326.0,1,201.16,1,1,1,111,3,Lost Customers
13860,1.0,5,1245.9,4,4,3,443,11,Champions
13862,18.0,8,2209.36,4,4,4,444,12,Champions
13863,248.0,1,305.78,1,1,1,111,3,Lost Customers
13865,58.0,4,501.56,2,3,2,232,7,At Risk
13866,74.0,1,145.67,2,1,1,211,4,Typical Customers
13867,31.0,3,1015.29,3,3,3,333,9,Champions
13868,7.0,2,3192.54,4,2,4,424,10,Big Spenders
13869,123.0,4,3104.95,2,3,4,234,9,At Risk
13870,2.0,8,2770.94,4,4,4,444,12,Champions
13871,23.0,13,6403.25,3,4,4,344,11,Champions
13873,120.0,3,389.6,2,3,2,232,7,At Risk
13874,358.0,1,540.45,1,1,2,112,4,Lost Customers
13875,54.0,5,1786.79,2,4,4,244,10,At Risk
13876,64.0,1,122.7,2,1,1,211,4,Typical Customers
13877,86.0,1,117.24,2,1,1,211,4,Typical Customers
13878,55.0,1,1281.53,2,1,3,213,6,Big Spenders
13880,21.0,13,3219.77,3,4,4,344,11,Champions
13881,4.0,20,17159.52,4,4,4,444,12,Champions
13882,3.0,5,1191.13,4,4,3,443,11,Champions
13883,11.0,5,2674.48,4,4,4,444,12,Champions
13884,7.0,5,787.6,4,4,3,443,11,Champions
13885,189.0,2,506.8,1,2,2,122,5,Typical Customers
13886,71.0,1,243.56,2,1,1,211,4,Typical Customers
13887,204.0,1,349.55,1,1,2,112,4,Lost Customers
13888,120.0,2,605.63,2,2,2,222,6,Typical Customers
13889,93.0,1,416.9,2,1,2,212,5,Typical Customers
13890,1.0,10,1883.81,4,4,4,444,12,Champions
13892,27.0,4,632.97,3,3,2,332,8,Champions
13893,298.0,1,821.1,1,1,3,113,5,Big Spenders
13894,24.0,3,564.62,3,3,2,332,8,Champions
13895,28.0,4,2593.07,3,3,4,334,10,Champions
13897,50.0,1,311.16,3,1,2,312,6,New Customers
13898,326.0,1,155.93,1,1,1,111,3,Lost Customers
13899,16.0,2,388.52,4,2,2,422,8,New Customers
13900,183.0,3,740.95,1,3,3,133,7,At Risk
13901,72.0,5,2867.2,2,4,4,244,10,At Risk
13904,37.0,2,332.64,3,2,2,322,7,New Customers
13908,80.0,4,2369.55,2,3,4,234,9,At Risk
13911,57.0,9,2580.91,2,4,4,244,10,At Risk
13914,12.0,2,626.45,4,2,2,422,8,New Customers
13917,50.0,2,272.04,3,2,1,321,6,New Customers
13918,50.0,2,1212.84,3,2,3,323,8,Big Spenders
13919,59.0,2,384.81,2,2,2,222,6,Typical Customers
13922,352.0,1,172.25,1,1,1,111,3,Lost Customers
13923,54.0,1,351.13,2,1,2,212,5,Typical Customers
13924,2.0,6,1838.85,4,4,4,444,12,Champions
13925,93.0,4,678.25,2,3,3,233,8,At Risk
13926,23.0,1,223.85,3,1,1,311,5,New Customers
13927,75.0,1,348.99,2,1,2,212,5,Typical Customers
13928,11.0,4,464.57,4,3,2,432,9,Champions
13929,169.0,2,842.65,1,2,3,123,6,Big Spenders
13930,58.0,2,337.34,2,2,2,222,6,Typical Customers
13931,96.0,2,1237.53,2,2,3,223,7,Big Spenders
13932,295.0,1,307.4,1,1,1,111,3,Lost Customers
13933,109.0,2,608.79,2,2,2,222,6,Typical Customers
13934,264.0,1,922.1,1,1,3,113,5,Big Spenders
13936,180.0,1,376.58,1,1,2,112,4,Lost Customers
13937,169.0,1,158.85,1,1,1,111,3,Lost Customers
13938,35.0,1,71.66,3,1,1,311,5,New Customers
13939,23.0,3,568.55,3,3,2,332,8,Champions
13940,17.0,4,839.14,4,3,3,433,10,Champions
13941,22.0,5,5112.96,3,4,4,344,11,Champions
13946,79.0,3,561.57,2,3,2,232,7,At Risk
13947,65.0,1,90.6,2,1,1,211,4,Typical Customers
13948,361.0,1,102.0,1,1,1,111,3,Lost Customers
13949,3.0,6,2427.32,4,4,4,444,12,Champions
13950,11.0,4,745.06,4,3,3,433,10,Champions
13951,176.0,3,674.45,1,3,2,132,6,At Risk
13952,218.0,2,3251.07,1,2,4,124,7,Big Spenders
13953,7.0,7,3515.68,4,4,4,444,12,Champions
13954,2.0,2,439.92,4,2,2,422,8,New Customers
13955,154.0,2,322.96,1,2,2,122,5,Typical Customers
13956,5.0,5,1026.42,4,4,3,443,11,Champions
13959,79.0,3,598.2,2,3,2,232,7,At Risk
13960,21.0,2,230.22,3,2,1,321,6,New Customers
13962,22.0,2,169.55,3,2,1,321,6,New Customers
13963,308.0,4,664.54,1,3,2,132,6,At Risk
13967,146.0,1,80.7,1,1,1,111,3,Lost Customers
13969,7.0,18,9053.94,4,4,4,444,12,Champions
13971,19.0,8,2758.26,3,4,4,344,11,Champions
13972,71.0,2,190.25,2,2,1,221,5,Typical Customers
13973,287.0,1,264.7,1,1,1,111,3,Lost Customers
13974,49.0,1,413.59,3,1,2,312,6,New Customers
13975,31.0,6,2526.28,3,4,4,344,11,Champions
13976,207.0,1,357.98,1,1,2,112,4,Lost Customers
13978,15.0,2,196.79,4,2,1,421,7,New Customers
13979,73.0,1,869.87,2,1,3,213,6,Big Spenders
13980,60.0,1,200.14,2,1,1,211,4,Typical Customers
13982,39.0,4,1871.81,3,3,4,334,10,Champions
13983,30.0,12,2603.43,3,4,4,344,11,Champions
13984,27.0,5,920.51,3,4,3,343,10,Champions
13985,4.0,15,7060.13,4,4,4,444,12,Champions
13986,17.0,1,320.46,4,1,2,412,7,New Customers
13988,20.0,6,4147.96,3,4,4,344,11,Champions
13989,66.0,2,1266.08,2,2,3,223,7,Big Spenders
13990,213.0,1,311.3,1,1,2,112,4,Lost Customers
13991,12.0,6,855.97,4,4,3,443,11,Champions
13992,30.0,1,76.8,3,1,1,311,5,New Customers
13993,43.0,9,3466.36,3,4,4,344,11,Champions
13994,4.0,6,2313.14,4,4,4,444,12,Champions
13995,15.0,5,1393.69,4,4,3,443,11,Champions
13999,10.0,12,3901.81,4,4,4,444,12,Champions
14000,211.0,1,635.66,1,1,2,112,4,Lost Customers
14001,46.0,3,2043.08,3,3,4,334,10,Champions
14002,134.0,2,529.73,2,2,2,222,6,Typical Customers
14004,43.0,7,4582.64,3,4,4,344,11,Champions
14005,10.0,5,2874.72,4,4,4,444,12,Champions
14006,116.0,3,962.19,2,3,3,233,8,At Risk
14009,198.0,2,695.61,1,2,3,123,6,Big Spenders
14012,278.0,1,328.8,1,1,2,112,4,Lost Customers
14013,110.0,3,473.02,2,3,2,232,7,At Risk
14014,77.0,1,505.18,2,1,2,212,5,Typical Customers
14015,53.0,1,917.34,2,1,3,213,6,Big Spenders
14016,162.0,4,4341.21,1,3,4,134,8,At Risk
14019,47.0,3,1421.61,3,3,3,333,9,Champions
14020,17.0,2,642.8,4,2,2,422,8,New Customers
14021,155.0,3,631.9,1,3,2,132,6,At Risk
14022,225.0,1,440.0,1,1,2,112,4,Lost Customers
14023,7.0,2,584.07,4,2,2,422,8,New Customers
14024,122.0,2,327.7,2,2,2,222,6,Typical Customers
14027,61.0,1,104.82,2,1,1,211,4,Typical Customers
14029,63.0,2,467.66,2,2,2,222,6,Typical Customers
14030,18.0,8,2360.09,4,4,4,444,12,Champions
14031,7.0,19,17286.86,4,4,4,444,12,Champions
14032,2.0,11,2975.59,4,4,4,444,12,Champions
14034,22.0,3,651.82,3,3,2,332,8,Champions
14035,29.0,5,1428.02,3,4,3,343,10,Champions
14036,285.0,1,626.65,1,1,2,112,4,Lost Customers
14037,176.0,2,147.2,1,2,1,121,4,Typical Customers
14038,78.0,3,1560.38,2,3,3,233,8,At Risk
14039,33.0,1,152.2,3,1,1,311,5,New Customers
14040,41.0,12,3614.92,3,4,4,344,11,Champions
14041,266.0,1,141.41,1,1,1,111,3,Lost Customers
14044,27.0,4,652.82,3,3,2,332,8,Champions
14045,109.0,4,1659.75,2,3,3,233,8,At Risk
14046,284.0,1,154.99,1,1,1,111,3,Lost Customers
14047,9.0,5,1308.61,4,4,3,443,11,Champions
14048,305.0,1,409.93,1,1,2,112,4,Lost Customers
14049,17.0,4,5681.72,4,3,4,434,11,Champions
14050,32.0,2,746.36,3,2,3,323,8,Big Spenders
14051,1.0,23,15610.39,4,4,4,444,12,Champions
14052,20.0,1,225.36,3,1,1,311,5,New Customers
14053,124.0,2,260.25,2,2,1,221,5,Typical Customers
14054,65.0,1,92.46,2,1,1,211,4,Typical Customers
14055,106.0,1,725.64,2,1,3,213,6,Big Spenders
14056,1.0,23,8214.65,4,4,4,444,12,Champions
14057,24.0,17,6217.96,3,4,4,344,11,Champions
14059,267.0,1,183.6,1,1,1,111,3,Lost Customers
14060,5.0,19,6140.42,4,4,4,444,12,Champions
14062,10.0,12,10464.85,4,4,4,444,12,Champions
14064,29.0,5,1353.74,3,4,3,343,10,Champions
14066,267.0,1,152.55,1,1,1,111,3,Lost Customers
14067,64.0,2,374.7,2,2,2,222,6,Typical Customers
14068,320.0,1,265.85,1,1,1,111,3,Lost Customers
14071,4.0,8,1438.82,4,4,3,443,11,Champions
14073,32.0,1,151.04,3,1,1,311,5,New Customers
14075,5.0,3,942.26,4,3,3,433,10,Champions
14076,129.0,1,122.47,2,1,1,211,4,Typical Customers
14077,41.0,5,499.42,3,4,2,342,9,Champions
14078,102.0,6,1049.37,2,4,3,243,9,At Risk
14079,125.0,1,375.1,2,1,2,212,5,Typical Customers
14080,33.0,1,45.6,3,1,1,311,5,New Customers
14081,302.0,2,934.52,1,2,3,123,6,Big Spenders
14082,365.0,1,182.25,1,1,1,111,3,Lost Customers
14083,4.0,9,1018.43,4,4,3,443,11,Champions
14085,2.0,18,4448.54,4,4,4,444,12,Champions
14087,3.0,1,194.42,4,1,1,411,6,New Customers
14088,10.0,13,50491.81,4,4,4,444,12,Champions
14089,57.0,1,161.0,2,1,1,211,4,Typical Customers
14090,325.0,1,76.32,1,1,1,111,3,Lost Customers
14092,8.0,14,4076.91,4,4,4,444,12,Champions
14093,12.0,1,442.85,4,1,2,412,7,New Customers
14096,4.0,17,65164.79,4,4,4,444,12,Champions
14098,37.0,1,147.35,3,1,1,311,5,New Customers
14099,16.0,11,3104.17,4,4,4,444,12,Champions
14100,138.0,1,194.9,2,1,1,211,4,Typical Customers
14101,74.0,6,5976.79,2,4,4,244,10,At Risk
14102,5.0,5,1360.28,4,4,3,443,11,Champions
14104,155.0,2,216.21,1,2,1,121,4,Typical Customers
14105,239.0,1,1266.23,1,1,3,113,5,Big Spenders
14107,52.0,7,2703.23,2,4,4,244,10,At Risk
14108,31.0,2,597.91,3,2,2,322,7,New Customers
14109,73.0,1,144.2,2,1,1,211,4,Typical Customers
14110,4.0,12,5683.15,4,4,4,444,12,Champions
14111,14.0,4,692.85,4,3,3,433,10,Champions
14112,23.0,7,2915.15,3,4,4,344,11,Champions
14113,4.0,4,1840.42,4,3,4,434,11,Champions
14114,274.0,2,386.53,1,2,2,122,5,Typical Customers
14116,20.0,5,1382.74,3,4,3,343,10,Champions
14117,144.0,1,90.0,1,1,1,111,3,Lost Customers
14121,4.0,4,2780.15,4,3,4,434,11,Champions
14124,84.0,1,419.58,2,1,2,212,5,Typical Customers
14125,11.0,3,2740.43,4,3,4,434,11,Champions
14126,8.0,3,706.13,4,3,3,433,10,Champions
14127,123.0,3,709.71,2,3,3,233,8,At Risk
14128,61.0,2,637.5,2,2,2,222,6,Typical Customers
14129,2.0,5,1123.86,4,4,3,443,11,Champions
14130,319.0,1,483.86,1,1,2,112,4,Lost Customers
14132,2.0,11,3586.03,4,4,4,444,12,Champions
14133,130.0,3,605.64,2,3,2,232,7,At Risk
14135,2.0,15,4690.31,4,4,4,444,12,Champions
14138,2.0,2,982.38,4,2,3,423,9,Big Spenders
14139,46.0,1,415.82,3,1,2,312,6,New Customers
14140,4.0,2,935.05,4,2,3,423,9,Big Spenders
14141,3.0,4,915.13,4,3,3,433,10,Champions
14142,373.0,1,311.81,1,1,2,112,4,Lost Customers
14143,134.0,1,115.8,2,1,1,211,4,Typical Customers
14145,47.0,4,3742.2,3,3,4,334,10,Champions
14146,9.0,5,4191.0,4,4,4,444,12,Champions
14147,78.0,2,483.4,2,2,2,222,6,Typical Customers
14148,234.0,1,157.2,1,1,1,111,3,Lost Customers
14149,221.0,1,446.62,1,1,2,112,4,Lost Customers
14150,36.0,2,658.64,3,2,2,322,7,New Customers
14152,75.0,2,621.29,2,2,2,222,6,Typical Customers
14154,239.0,2,1345.62,1,2,3,123,6,Big Spenders
14155,266.0,1,118.75,1,1,1,111,3,Lost Customers
14156,10.0,55,117379.63,4,4,4,444,12,Champions
14157,20.0,2,432.88,3,2,2,322,7,New Customers
14158,40.0,1,507.66,3,1,2,312,6,New Customers
14159,20.0,11,4693.01,3,4,4,344,11,Champions
14161,216.0,3,1110.52,1,3,3,133,7,At Risk
14162,174.0,2,289.36,1,2,1,121,4,Typical Customers
14163,87.0,4,2445.91,2,3,4,234,9,At Risk
14164,71.0,2,1631.77,2,2,3,223,7,Big Spenders
14165,276.0,1,122.54,1,1,1,111,3,Lost Customers
14167,39.0,4,574.84,3,3,2,332,8,Champions
14171,98.0,1,363.79,2,1,2,212,5,Typical Customers
14173,11.0,4,450.84,4,3,2,432,9,Champions
14174,33.0,1,134.46,3,1,1,311,5,New Customers
14175,60.0,3,3222.3,2,3,4,234,9,At Risk
14176,297.0,4,576.9,1,3,2,132,6,At Risk
14177,86.0,4,559.41,2,3,2,232,7,At Risk
14178,9.0,7,1620.93,4,4,3,443,11,Champions
14179,41.0,2,719.78,3,2,3,323,8,Big Spenders
14180,11.0,25,4748.52,4,4,4,444,12,Champions
14184,67.0,1,452.89,2,1,2,212,5,Typical Customers
14185,331.0,1,197.65,1,1,1,111,3,Lost Customers
14188,31.0,6,2054.36,3,4,4,344,11,Champions
14189,2.0,15,4654.08,4,4,4,444,12,Champions
14191,2.0,13,4684.76,4,4,4,444,12,Champions
14193,68.0,2,853.39,2,2,3,223,7,Big Spenders
14194,5.0,21,11349.52,4,4,4,444,12,Champions
14195,202.0,2,1012.0,1,2,3,123,6,Big Spenders
14196,107.0,1,335.52,2,1,2,212,5,Typical Customers
14198,18.0,4,701.4,4,3,3,433,10,Champions
14199,218.0,1,185.4,1,1,1,111,3,Lost Customers
14201,60.0,7,747.44,2,4,3,243,9,At Risk
14204,2.0,1,161.03,4,1,1,411,6,New Customers
14205,17.0,2,466.7,4,2,2,422,8,New Customers
14206,239.0,1,328.16,1,1,2,112,4,Lost Customers
14208,95.0,1,151.74,2,1,1,211,4,Typical Customers
14209,11.0,6,2073.43,4,4,4,444,12,Champions
14210,106.0,6,1905.84,2,4,4,244,10,At Risk
14211,53.0,9,2241.1,2,4,4,244,10,At Risk
14212,90.0,1,1070.48,2,1,3,213,6,Big Spenders
14214,31.0,5,1004.38,3,4,3,343,10,Champions
14215,12.0,6,1789.72,4,4,4,444,12,Champions
14216,3.0,4,1839.3,4,3,4,434,11,Champions
14217,2.0,17,2004.98,4,4,4,444,12,Champions
14218,43.0,1,169.48,3,1,1,311,5,New Customers
14219,4.0,1,89.94,4,1,1,411,6,New Customers
14220,247.0,2,632.4,1,2,2,122,5,Typical Customers
14221,42.0,9,3432.8,3,4,4,344,11,Champions
14222,177.0,1,683.17,1,1,3,113,5,Big Spenders
14223,92.0,3,991.13,2,3,3,233,8,At Risk
14224,110.0,4,1050.12,2,3,3,233,8,At Risk
14226,29.0,5,2232.19,3,4,4,344,11,Champions
14227,26.0,10,3350.96,3,4,4,344,11,Champions
14229,52.0,3,1547.2,2,3,3,233,8,At Risk
14231,184.0,3,925.71,1,3,3,133,7,At Risk
14232,43.0,5,2048.07,3,4,4,344,11,Champions
14233,49.0,4,1462.72,3,3,3,333,9,Champions
14234,22.0,4,775.46,3,3,3,333,9,Champions
14235,75.0,5,3144.86,2,4,4,244,10,At Risk
14236,81.0,2,490.86,2,2,2,222,6,Typical Customers
14237,373.0,1,161.0,1,1,1,111,3,Lost Customers
14238,326.0,1,146.85,1,1,1,111,3,Lost Customers
14239,43.0,11,2380.85,3,4,4,344,11,Champions
14240,30.0,2,890.34,3,2,3,323,8,Big Spenders
14241,184.0,1,213.7,1,1,1,111,3,Lost Customers
14242,235.0,2,280.55,1,2,1,121,4,Typical Customers
14243,9.0,10,2588.77,4,4,4,444,12,Champions
14245,220.0,2,1693.45,1,2,4,124,7,Big Spenders
14246,111.0,3,1474.06,2,3,3,233,8,At Risk
14247,278.0,1,136.77,1,1,1,111,3,Lost Customers
14248,318.0,1,302.58,1,1,1,111,3,Lost Customers
14250,7.0,3,1904.05,4,3,4,434,11,Champions
14251,2.0,5,2879.7,4,4,4,444,12,Champions
14256,260.0,2,969.06,1,2,3,123,6,Big Spenders
14257,64.0,5,3099.72,2,4,4,244,10,At Risk
14258,9.0,9,12669.98,4,4,4,444,12,Champions
14259,142.0,1,120.0,2,1,1,211,4,Typical Customers
14261,51.0,2,1163.45,3,2,3,323,8,Big Spenders
14262,8.0,8,2618.23,4,4,4,444,12,Champions
14264,155.0,2,333.97,1,2,2,122,5,Typical Customers
14265,109.0,2,530.18,2,2,2,222,6,Typical Customers
14267,163.0,3,1516.24,1,3,3,133,7,At Risk
14270,332.0,1,492.65,1,1,2,112,4,Lost Customers
14271,226.0,1,112.32,1,1,1,111,3,Lost Customers
14272,74.0,2,437.96,2,2,2,222,6,Typical Customers
14273,51.0,4,559.97,3,3,2,332,8,Champions
14276,99.0,3,1119.74,2,3,3,233,8,At Risk
14277,15.0,3,4216.2,4,3,4,434,11,Champions
14280,197.0,1,134.04,1,1,1,111,3,Lost Customers
14282,3.0,15,3729.34,4,4,4,444,12,Champions
14284,31.0,2,595.25,3,2,2,322,7,New Customers
14285,21.0,4,1910.01,3,3,4,334,10,Champions
14286,24.0,3,4628.75,3,3,4,334,10,Champions
14287,8.0,3,176.63,4,3,1,431,8,Champions
14288,213.0,1,426.6,1,1,2,112,4,Lost Customers
14289,9.0,6,911.26,4,4,3,443,11,Champions
14290,11.0,5,2314.65,4,4,4,444,12,Champions
14291,2.0,11,3883.25,4,4,4,444,12,Champions
14292,8.0,9,4871.93,4,4,4,444,12,Champions
14293,3.0,4,1046.56,4,3,3,433,10,Champions
14295,40.0,1,166.2,3,1,1,311,5,New Customers
14297,18.0,4,1305.33,4,3,3,433,10,Champions
14298,8.0,44,51527.3,4,4,4,444,12,Champions
14299,8.0,9,3965.62,4,4,4,444,12,Champions
14300,19.0,1,43.2,3,1,1,311,5,New Customers
14301,117.0,1,640.14,2,1,2,212,5,Typical Customers
14304,223.0,1,383.45,1,1,2,112,4,Lost Customers
14305,71.0,3,1858.96,2,3,4,234,9,At Risk
14306,51.0,2,2093.32,3,2,4,324,9,Big Spenders
14307,89.0,6,2995.72,2,4,4,244,10,At Risk
14309,8.0,9,2352.53,4,4,4,444,12,Champions
14311,243.0,1,310.26,1,1,2,112,4,Lost Customers
14312,47.0,6,1611.59,3,4,3,343,10,Champions
14314,107.0,1,120.0,2,1,1,211,4,Typical Customers
14315,45.0,6,2481.13,3,4,4,344,11,Champions
14317,65.0,1,508.58,2,1,2,212,5,Typical Customers
14320,207.0,2,477.79,1,2,2,122,5,Typical Customers
14321,11.0,5,1530.75,4,4,3,443,11,Champions
14323,115.0,2,605.06,2,2,2,222,6,Typical Customers
14326,242.0,1,183.85,1,1,1,111,3,Lost Customers
14327,163.0,1,311.65,1,1,2,112,4,Lost Customers
14329,17.0,7,5014.84,4,4,4,444,12,Champions
14331,124.0,2,462.66,2,2,2,222,6,Typical Customers
14332,23.0,3,866.31,3,3,3,333,9,Champions
14333,68.0,1,415.2,2,1,2,212,5,Typical Customers
14334,17.0,8,2552.21,4,4,4,444,12,Champions
14335,16.0,2,468.26,4,2,2,422,8,New Customers
14336,17.0,4,1614.91,4,3,3,433,10,Champions
14338,161.0,2,588.22,1,2,2,122,5,Typical Customers
14339,243.0,1,309.52,1,1,2,112,4,Lost Customers
14340,219.0,1,134.7,1,1,1,111,3,Lost Customers
14341,45.0,8,2182.28,3,4,4,344,11,Champions
14342,21.0,4,668.56,3,3,2,332,8,Champions
14344,127.0,8,889.93,2,4,3,243,9,At Risk
14345,39.0,1,108.98,3,1,1,311,5,New Customers
14346,121.0,2,1021.58,2,2,3,223,7,Big Spenders
14348,260.0,1,409.57,1,1,2,112,4,Lost Customers
14349,10.0,1,133.5,4,1,1,411,6,New Customers
14350,274.0,1,282.93,1,1,1,111,3,Lost Customers
14351,165.0,1,51.0,1,1,1,111,3,Lost Customers
14352,157.0,4,1078.96,1,3,3,133,7,At Risk
14353,215.0,1,90.6,1,1,1,111,3,Lost Customers
14354,6.0,2,163.62,4,2,1,421,7,New Customers
14355,366.0,1,174.4,1,1,1,111,3,Lost Customers
14356,80.0,2,701.23,2,2,3,223,7,Big Spenders
14357,43.0,1,225.77,3,1,1,311,5,New Customers
14359,19.0,3,912.18,3,3,3,333,9,Champions
14360,32.0,4,2128.23,3,3,4,334,10,Champions
14362,22.0,1,161.2,3,1,1,311,5,New Customers
14364,109.0,8,3717.35,2,4,4,244,10,At Risk
14367,8.0,16,9261.52,4,4,4,444,12,Champions
14368,320.0,1,155.0,1,1,1,111,3,Lost Customers
14371,295.0,1,100.5,1,1,1,111,3,Lost Customers
14373,358.0,1,76.55,1,1,1,111,3,Lost Customers
14375,185.0,1,257.68,1,1,1,111,3,Lost Customers
14377,191.0,2,617.05,1,2,2,122,5,Typical Customers
14379,44.0,2,348.1,3,2,2,322,7,New Customers
14381,52.0,1,202.68,2,1,1,211,4,Typical Customers
14382,26.0,1,626.07,3,1,2,312,6,New Customers
14383,38.0,3,1247.69,3,3,3,333,9,Champions
14385,9.0,3,202.11,4,3,1,431,8,Champions
14386,297.0,1,142.4,1,1,1,111,3,Lost Customers
14387,33.0,3,1770.56,3,3,4,334,10,Champions
14388,10.0,8,3212.84,4,4,4,444,12,Champions
14389,65.0,2,1043.46,2,2,3,223,7,Big Spenders
14390,10.0,9,4652.82,4,4,4,444,12,Champions
14393,218.0,1,67.95,1,1,1,111,3,Lost Customers
14395,2.0,9,3507.71,4,4,4,444,12,Champions
14396,65.0,2,487.99,2,2,2,222,6,Typical Customers
14397,3.0,19,2612.96,4,4,4,444,12,Champions
14400,149.0,1,574.7,1,1,2,112,4,Lost Customers
14401,4.0,13,4051.48,4,4,4,444,12,Champions
14403,130.0,4,1475.81,2,3,3,233,8,At Risk
14404,34.0,6,1474.32,3,4,3,343,10,Champions
14406,119.0,1,156.75,2,1,1,211,4,Typical Customers
14407,107.0,6,2157.73,2,4,4,244,10,At Risk
14408,11.0,7,2606.53,4,4,4,444,12,Champions
14409,71.0,6,2059.45,2,4,4,244,10,At Risk
14410,92.0,9,1105.07,2,4,3,243,9,At Risk
14411,311.0,1,1063.0,1,1,3,113,5,Big Spenders
14412,43.0,2,770.03,3,2,3,323,8,Big Spenders
14413,362.0,1,122.7,1,1,1,111,3,Lost Customers
14414,92.0,7,1496.98,2,4,3,243,9,At Risk
14415,1.0,13,5900.28,4,4,4,444,12,Champions
14416,22.0,2,490.22,3,2,2,322,7,New Customers
14418,4.0,3,1937.25,4,3,4,434,11,Champions
14419,11.0,6,1058.06,4,4,3,443,11,Champions
14420,99.0,1,387.52,2,1,2,212,5,Typical Customers
14421,57.0,2,813.11,2,2,3,223,7,Big Spenders
14422,1.0,6,4263.64,4,4,4,444,12,Champions
14423,218.0,1,265.2,1,1,1,111,3,Lost Customers
14424,18.0,1,322.08,4,1,2,412,7,New Customers
14426,24.0,10,4481.67,3,4,4,344,11,Champions
14427,50.0,2,363.34,3,2,2,322,7,New Customers
14428,7.0,5,1244.83,4,4,3,443,11,Champions
14431,303.0,1,470.36,1,1,2,112,4,Lost Customers
14432,10.0,6,2255.51,4,4,4,444,12,Champions
14434,22.0,6,1372.8,3,4,3,343,10,Champions
14436,99.0,1,89.06,2,1,1,211,4,Typical Customers
14437,366.0,1,63.0,1,1,1,111,3,Lost Customers
14438,306.0,1,131.9,1,1,1,111,3,Lost Customers
14439,320.0,1,2661.24,1,1,4,114,6,Big Spenders
14440,8.0,5,2357.68,4,4,4,444,12,Champions
14441,1.0,4,1712.89,4,3,4,434,11,Champions
14442,205.0,2,1589.82,1,2,3,123,6,Big Spenders
14443,54.0,4,1420.2,2,3,3,233,8,At Risk
14446,1.0,4,1039.58,4,3,3,433,10,Champions
14447,19.0,5,1163.23,3,4,3,343,10,Champions
14448,9.0,2,375.35,4,2,2,422,8,New Customers
14449,19.0,4,907.1,3,3,3,333,9,Champions
14450,181.0,3,483.25,1,3,2,132,6,At Risk
14451,60.0,2,662.59,2,2,2,222,6,Typical Customers
14452,11.0,2,264.44,4,2,1,421,7,New Customers
14453,190.0,1,119.93,1,1,1,111,3,Lost Customers
14456,5.0,9,3062.4,4,4,4,444,12,Champions
14457,311.0,1,113.64,1,1,1,111,3,Lost Customers
14459,155.0,1,1837.92,1,1,4,114,6,Big Spenders
14460,110.0,3,434.34,2,3,2,232,7,At Risk
14461,148.0,3,2103.06,1,3,4,134,8,At Risk
14462,66.0,11,2004.02,2,4,4,244,10,At Risk
14463,98.0,3,529.62,2,3,2,232,7,At Risk
14465,247.0,3,1058.62,1,3,3,133,7,At Risk
14466,29.0,7,2272.4,3,4,4,344,11,Champions
